x,t_x,T.cal
0,0.00,37.71
1,1.57,37.71
0,0.00,37.71
0,0.00,37.71
2,14.29,37.57
0,0.00,37.57
2,7.00,37.57
2,31.00,37.57
0,0.00,37.57
0,0.00,37.57
1,18.00,37.57
0,0.00,37.57
1,0.29,37.57
0,0.00,37.57
0,0.00,37.57
7,17.86,37.57
0,0.00,37.57
0,0.00,37.57
0,0.00,37.57
2,29.00,37.57
0,0.00,37.57
4,24.29,37.57
0,0.00,37.43
1,14.86,37.43
1,27.43,37.43
0,0.00,37.43
0,0.00,37.43
0,0.00,37.43
0,0.00,37.43
0,0.00,37.43
2,11.43,37.43
0,0.00,37.43
1,2.00,37.43
1,1.86,37.43
2,33.00,37.43
0,0.00,37.43
3,36.57,37.43
0,0.00,37.43
0,0.00,37.43
0,0.00,37.43
0,0.00,37.43
0,0.00,37.43
0,0.00,37.43
0,0.00,37.43
0,0.00,37.43
0,0.00,37.43
4,31.43,37.43
1,8.29,37.29
5,5.14,37.29
0,0.00,37.29
0,0.00,37.29
2,24.00,37.29
0,0.00,37.29
1,1.86,37.29
2,20.43,37.29
0,0.00,37.29
0,0.00,37.29
1,32.00,37.29
0,0.00,37.29
1,0.43,37.29
0,0.00,37.29
5,16.14,37.29
0,0.00,37.29
0,0.00,37.29
1,5.86,37.29
2,28.57,37.29
0,0.00,37.29
1,36.86,37.29
0,0.00,37.29
0,0.00,37.29
1,0.14,37.29
2,35.57,37.29
1,5.71,37.29
0,0.00,37.14
1,2.00,37.14
0,0.00,37.14
1,3.86,37.14
0,0.00,37.14
3,24.29,37.14
1,34.00,37.14
13,30.71,37.14
0,0.00,37.14
0,0.00,37.14
0,0.00,37.14
0,0.00,37.14
0,0.00,37.14
3,19.43,37.14
3,32.86,37.14
1,3.00,37.14
0,0.00,37.14
0,0.00,37.14
3,31.57,37.14
0,0.00,37.14
5,36.43,37.14
0,0.00,37.14
2,35.43,37.14
1,0.43,37.14
0,0.00,37.14
1,0.71,37.14
0,0.00,37.14
0,0.00,37.14
1,15.29,37.00
1,1.14,37.00
0,0.00,37.00
0,0.00,37.00
0,0.00,37.00
3,34.43,37.00
1,36.29,37.00
1,17.86,37.00
0,0.00,37.00
1,3.43,37.00
0,0.00,37.00
0,0.00,37.00
0,0.00,37.00
4,4.29,37.00
0,0.00,37.00
2,34.57,37.00
0,0.00,37.00
3,27.71,37.00
0,0.00,37.00
0,0.00,37.00
1,19.86,37.00
0,0.00,37.00
1,16.57,37.00
0,0.00,37.00
2,32.00,37.00
0,0.00,36.86
1,8.86,36.86
3,2.71,36.86
25,27.29,36.86
0,0.00,36.86
0,0.00,36.86
0,0.00,36.86
0,0.00,36.86
5,22.57,36.86
0,0.00,36.86
2,14.14,36.86
0,0.00,36.86
0,0.00,36.86
0,0.00,36.86
5,36.00,36.86
0,0.00,36.86
0,0.00,36.86
1,22.43,36.86
0,0.00,36.86
0,0.00,36.86
0,0.00,36.86
0,0.00,36.86
2,22.57,36.71
0,0.00,36.71
0,0.00,36.71
0,0.00,36.71
1,22.57,36.71
0,0.00,36.71
2,22.57,36.71
1,9.57,36.71
0,0.00,36.71
0,0.00,36.71
0,0.00,36.71
0,0.00,36.71
0,0.00,36.71
1,2.57,36.71
2,23.71,36.71
0,0.00,36.71
0,0.00,36.71
0,0.00,36.71
0,0.00,36.71
2,10.57,36.71
4,28.71,36.71
0,0.00,36.71
0,0.00,36.57
1,11.71,36.57
3,17.43,36.57
0,0.00,36.57
1,14.14,36.57
0,0.00,36.57
0,0.00,36.57
0,0.00,36.57
0,0.00,36.57
0,0.00,36.57
1,5.71,36.57
1,10.43,36.57
1,22.00,36.57
0,0.00,36.57
0,0.00,36.57
0,0.00,36.57
11,36.43,36.57
0,0.00,36.57
0,0.00,36.57
4,31.14,36.57
0,0.00,36.57
0,0.00,36.57
1,15.29,36.43
2,10.14,36.43
0,0.00,36.43
0,0.00,36.43
0,0.00,36.43
0,0.00,36.43
1,25.86,36.43
1,4.43,36.43
0,0.00,36.43
3,21.29,36.43
1,8.00,36.43
0,0.00,36.43
0,0.00,36.43
2,21.86,36.43
0,0.00,36.43
8,31.14,36.43
1,6.14,36.43
0,0.00,36.43
2,15.86,36.43
1,31.86,36.43
0,0.00,36.43
0,0.00,36.43
1,21.71,36.43
0,0.00,36.43
2,3.43,36.43
0,0.00,36.43
0,0.00,36.43
3,20.86,36.29
0,0.00,36.29
0,0.00,36.29
0,0.00,36.29
0,0.00,36.29
0,0.00,36.29
0,0.00,36.29
2,12.43,36.29
2,19.71,36.29
0,0.00,36.29
0,0.00,36.29
0,0.00,36.29
1,4.43,36.29
2,30.00,36.29
0,0.00,36.29
0,0.00,36.29
0,0.00,36.29
0,0.00,36.29
0,0.00,36.29
1,8.43,36.29
0,0.00,36.29
0,0.00,36.29
0,0.00,36.29
0,0.00,36.29
1,18.14,36.29
2,26.14,36.29
4,26.71,36.29
0,0.00,36.29
0,0.00,36.29
2,3.14,36.14
0,0.00,36.14
6,27.14,36.14
0,0.00,36.14
1,2.14,36.14
0,0.00,36.14
1,7.86,36.14
1,8.86,36.14
1,17.00,36.14
2,11.00,36.14
1,27.14,36.14
0,0.00,36.14
7,28.29,36.14
4,15.14,36.14
0,0.00,36.14
0,0.00,36.14
0,0.00,36.14
7,25.43,36.14
0,0.00,36.14
1,8.57,36.14
1,17.00,36.14
0,0.00,36.14
2,23.00,36.14
1,31.57,36.14
0,0.00,36.14
4,30.43,36.14
0,0.00,36.14
1,2.43,36.14
0,0.00,36.14
0,0.00,36.14
2,33.71,36.14
0,0.00,36.14
0,0.00,36.14
4,36.00,36.14
0,0.00,36.14
0,0.00,36.00
2,21.29,36.00
1,21.57,36.00
0,0.00,36.00
1,8.57,36.00
0,0.00,36.00
11,33.14,36.00
0,0.00,36.00
4,9.00,36.00
0,0.00,36.00
0,0.00,36.00
0,0.00,36.00
4,17.43,36.00
0,0.00,36.00
3,30.43,36.00
0,0.00,36.00
1,36.00,36.00
1,2.14,36.00
0,0.00,36.00
0,0.00,36.00
6,26.57,36.00
3,5.57,36.00
0,0.00,36.00
0,0.00,36.00
0,0.00,36.00
0,0.00,35.86
2,14.29,35.86
0,0.00,35.86
2,31.00,35.86
0,0.00,35.86
18,35.14,35.86
0,0.00,35.86
1,5.29,35.86
0,0.00,35.86
1,7.86,35.86
0,0.00,35.86
0,0.00,35.86
0,0.00,35.86
5,29.57,35.86
0,0.00,35.86
1,35.86,35.86
0,0.00,35.86
6,34.86,35.86
0,0.00,35.86
2,11.14,35.86
0,0.00,35.86
0,0.00,35.86
2,22.71,35.86
0,0.00,35.86
1,29.86,35.86
1,20.86,35.71
0,0.00,35.71
0,0.00,35.71
1,12.86,35.71
0,0.00,35.71
1,4.57,35.71
2,29.43,35.71
0,0.00,35.71
0,0.00,35.71
0,0.00,35.71
1,0.14,35.71
0,0.00,35.71
2,31.71,35.71
0,0.00,35.71
2,22.43,35.71
0,0.00,35.71
0,0.00,35.71
0,0.00,35.71
0,0.00,35.71
1,22.00,35.71
10,33.57,35.71
0,0.00,35.71
1,6.71,35.71
3,3.43,35.71
3,23.71,35.71
0,0.00,35.71
2,32.43,35.71
0,0.00,35.71
0,0.00,35.71
12,23.86,35.57
0,0.00,35.57
1,7.57,35.57
2,29.00,35.57
2,34.43,35.57
0,0.00,35.57
0,0.00,35.57
0,0.00,35.57
0,0.00,35.57
5,33.43,35.57
0,0.00,35.57
0,0.00,35.57
2,24.86,35.57
0,0.00,35.57
5,8.71,35.57
0,0.00,35.57
1,26.71,35.57
1,5.43,35.57
0,0.00,35.57
1,7.29,35.57
0,0.00,35.57
0,0.00,35.57
0,0.00,35.57
0,0.00,35.57
0,0.00,35.57
0,0.00,35.57
1,35.43,35.43
2,21.57,35.43
0,0.00,35.43
0,0.00,35.43
0,0.00,35.43
0,0.00,35.43
0,0.00,35.43
0,0.00,35.43
1,29.00,35.43
7,17.14,35.43
0,0.00,35.43
0,0.00,35.43
2,32.71,35.43
0,0.00,35.43
0,0.00,35.43
2,25.86,35.43
0,0.00,35.43
4,21.43,35.43
0,0.00,35.43
0,0.00,35.43
3,30.00,35.43
0,0.00,35.43
1,31.29,35.43
0,0.00,35.43
2,13.57,35.43
2,22.00,35.43
0,0.00,35.43
1,10.29,35.29
1,20.86,35.29
2,33.57,35.29
0,0.00,35.29
0,0.00,35.29
0,0.00,35.29
0,0.00,35.29
2,3.86,35.29
0,0.00,35.29
0,0.00,35.29
1,7.86,35.29
0,0.00,35.29
1,23.86,35.29
0,0.00,35.29
3,11.14,35.29
0,0.00,35.29
0,0.00,35.29
0,0.00,35.29
0,0.00,35.29
1,34.29,35.29
0,0.00,35.29
0,0.00,35.29
1,2.71,35.29
0,0.00,35.29
0,0.00,35.29
0,0.00,35.29
0,0.00,35.14
0,0.00,35.14
0,0.00,35.14
0,0.00,35.14
3,26.71,35.14
0,0.00,35.14
4,28.43,35.14
0,0.00,35.14
0,0.00,35.14
0,0.00,35.14
0,0.00,35.14
2,11.57,35.14
1,8.57,35.14
1,6.43,35.14
0,0.00,35.14
0,0.00,35.14
0,0.00,35.14
0,0.00,35.14
5,31.14,35.14
1,5.86,35.14
0,0.00,35.14
0,0.00,35.14
1,7.14,35.14
2,8.29,35.14
1,33.71,35.14
0,0.00,35.14
0,0.00,35.14
0,0.00,35.14
0,0.00,35.14
1,20.86,35.00
0,0.00,35.00
8,33.57,35.00
1,4.43,35.00
0,0.00,35.00
6,29.29,35.00
1,8.14,35.00
2,3.86,35.00
0,0.00,35.00
3,25.29,35.00
6,23.00,35.00
0,0.00,35.00
1,20.43,35.00
0,0.00,35.00
2,16.29,35.00
5,25.14,35.00
0,0.00,35.00
1,28.00,35.00
0,0.00,35.00
0,0.00,35.00
0,0.00,35.00
0,0.00,35.00
0,0.00,35.00
0,0.00,35.00
1,18.86,35.00
1,6.00,35.00
0,0.00,35.00
13,34.43,35.00
0,0.00,35.00
0,0.00,35.00
1,3.57,35.00
3,25.86,34.86
0,0.00,34.86
5,14.43,34.86
0,0.00,34.86
2,17.43,34.86
1,22.86,34.86
0,0.00,34.86
0,0.00,34.86
1,11.14,34.86
0,0.00,34.86
1,4.00,34.86
1,0.57,34.86
0,0.00,34.86
0,0.00,34.86
0,0.00,34.86
4,30.57,34.86
6,33.57,34.86
1,1.71,34.86
2,9.71,34.86
0,0.00,34.86
0,0.00,34.86
2,12.00,34.86
0,0.00,34.86
7,34.86,34.86
0,0.00,34.86
0,0.00,34.86
0,0.00,34.86
0,0.00,34.86
0,0.00,34.86
3,20.29,34.86
0,0.00,34.86
5,17.00,34.86
0,0.00,34.86
2,10.57,34.71
1,4.57,34.71
3,33.71,34.71
0,0.00,34.71
0,0.00,34.71
0,0.00,34.71
0,0.00,34.71
0,0.00,34.71
0,0.00,34.71
1,13.29,34.71
0,0.00,34.71
1,24.86,34.71
0,0.00,34.71
0,0.00,34.71
0,0.00,34.71
2,14.43,34.71
0,0.00,34.71
1,12.57,34.71
0,0.00,34.71
0,0.00,34.71
1,7.14,34.71
10,29.29,34.71
0,0.00,34.71
0,0.00,34.71
0,0.00,34.71
0,0.00,34.71
3,16.43,34.71
3,17.14,34.71
0,0.00,34.71
0,0.00,34.71
2,9.14,34.57
5,34.57,34.57
4,23.14,34.57
0,0.00,34.57
0,0.00,34.57
0,0.00,34.57
0,0.00,34.57
0,0.00,34.57
0,0.00,34.57
0,0.00,34.57
1,3.71,34.57
0,0.00,34.57
0,0.00,34.57
0,0.00,34.57
0,0.00,34.57
1,16.00,34.57
1,0.29,34.57
3,9.29,34.57
1,8.71,34.57
0,0.00,34.57
0,0.00,34.57
0,0.00,34.57
0,0.00,34.43
6,32.86,34.43
2,25.57,34.43
0,0.00,34.43
0,0.00,34.43
0,0.00,34.43
0,0.00,34.43
0,0.00,34.43
0,0.00,34.43
0,0.00,34.43
0,0.00,34.43
1,2.14,34.43
6,30.86,34.43
0,0.00,34.43
1,5.86,34.43
0,0.00,34.43
2,8.14,34.43
0,0.00,34.43
0,0.00,34.43
7,33.71,34.43
0,0.00,34.43
0,0.00,34.43
0,0.00,34.43
2,20.71,34.43
0,0.00,34.43
0,0.00,34.43
0,0.00,34.43
0,0.00,34.43
2,12.71,34.43
0,0.00,34.29
1,7.29,34.29
13,33.86,34.29
7,5.57,34.29
0,0.00,34.29
0,0.00,34.29
3,32.00,34.29
0,0.00,34.29
1,22.14,34.29
0,0.00,34.29
1,4.71,34.29
1,19.71,34.29
2,0.86,34.29
0,0.00,34.29
0,0.00,34.29
0,0.00,34.29
1,8.29,34.29
0,0.00,34.29
0,0.00,34.29
1,21.14,34.29
1,23.86,34.29
0,0.00,34.29
0,0.00,34.29
0,0.00,34.29
0,0.00,34.29
2,31.00,34.29
1,0.57,34.29
0,0.00,34.29
0,0.00,34.29
1,26.71,34.29
19,34.00,34.14
2,21.00,34.14
2,28.00,34.14
0,0.00,34.14
2,21.00,34.14
2,14.00,34.14
0,0.00,34.14
0,0.00,34.14
0,0.00,34.14
1,6.57,34.14
0,0.00,34.14
0,0.00,34.14
0,0.00,34.14
1,0.43,34.14
0,0.00,34.14
1,10.57,34.14
0,0.00,34.14
1,1.43,34.14
0,0.00,34.14
0,0.00,34.14
2,18.29,34.14
0,0.00,34.14
0,0.00,34.14
0,0.00,34.14
1,14.86,34.14
0,0.00,34.14
7,31.43,34.14
0,0.00,34.14
0,0.00,34.14
0,0.00,34.14
0,0.00,34.14
0,0.00,34.14
1,0.14,34.14
0,0.00,34.14
0,0.00,34.14
1,27.71,34.14
1,16.57,34.00
0,0.00,34.00
0,0.00,34.00
2,8.71,34.00
0,0.00,34.00
1,9.86,34.00
1,15.29,34.00
0,0.00,34.00
0,0.00,34.00
4,28.14,34.00
0,0.00,34.00
0,0.00,34.00
1,13.71,34.00
0,0.00,34.00
0,0.00,34.00
0,0.00,34.00
1,23.86,34.00
0,0.00,34.00
0,0.00,34.00
0,0.00,34.00
5,14.71,34.00
1,10.29,34.00
0,0.00,34.00
1,24.86,34.00
0,0.00,34.00
1,9.71,34.00
0,0.00,34.00
1,2.29,34.00
0,0.00,34.00
0,0.00,34.00
0,0.00,34.00
7,26.00,34.00
2,20.14,34.00
1,12.71,34.00
0,0.00,34.00
0,0.00,34.00
0,0.00,33.86
0,0.00,33.86
0,0.00,33.86
1,15.71,33.86
0,0.00,33.86
0,0.00,33.86
0,0.00,33.86
0,0.00,33.86
2,32.71,33.86
0,0.00,33.86
0,0.00,33.86
0,0.00,33.86
0,0.00,33.86
0,0.00,33.86
0,0.00,33.86
1,8.57,33.86
0,0.00,33.86
4,26.14,33.86
0,0.00,33.86
1,4.57,33.86
1,23.00,33.86
0,0.00,33.86
1,2.57,33.86
0,0.00,33.86
1,3.71,33.86
2,33.00,33.71
0,0.00,33.71
1,3.00,33.71
0,0.00,33.71
0,0.00,33.71
0,0.00,33.71
2,33.71,33.71
0,0.00,33.71
4,15.29,33.71
0,0.00,33.71
1,6.14,33.71
7,32.57,33.71
1,1.14,33.71
0,0.00,33.71
1,2.29,33.71
0,0.00,33.71
0,0.00,33.71
4,24.00,33.71
0,0.00,33.71
1,6.71,33.71
0,0.00,33.71
0,0.00,33.71
0,0.00,33.71
0,0.00,33.71
1,1.00,33.71
0,0.00,33.71
7,30.14,33.71
1,11.00,33.71
0,0.00,33.71
6,29.86,33.71
0,0.00,33.71
5,18.29,33.71
0,0.00,33.71
2,14.29,33.71
0,0.00,33.71
1,17.43,33.71
0,0.00,33.71
6,30.43,33.71
0,0.00,33.71
2,11.43,33.71
0,0.00,33.71
0,0.00,33.71
0,0.00,33.71
2,16.00,33.57
2,27.14,33.57
0,0.00,33.57
0,0.00,33.57
6,25.00,33.57
0,0.00,33.57
0,0.00,33.57
1,20.00,33.57
0,0.00,33.57
1,24.29,33.57
0,0.00,33.57
0,0.00,33.57
0,0.00,33.57
2,10.71,33.57
0,0.00,33.57
0,0.00,33.57
0,0.00,33.57
0,0.00,33.57
1,1.71,33.57
4,24.43,33.57
0,0.00,33.57
0,0.00,33.57
1,26.71,33.57
0,0.00,33.57
1,3.86,33.57
0,0.00,33.57
0,0.00,33.43
1,1.43,33.43
0,0.00,33.43
5,21.14,33.43
2,18.86,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
3,26.00,33.43
0,0.00,33.43
12,32.43,33.43
1,9.14,33.43
0,0.00,33.43
0,0.00,33.43
2,21.43,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
0,0.00,33.43
4,14.29,33.43
1,23.14,33.29
1,8.71,33.29
0,0.00,33.29
0,0.00,33.29
3,18.00,33.29
0,0.00,33.29
1,33.29,33.29
0,0.00,33.29
1,0.57,33.29
0,0.00,33.29
0,0.00,33.29
0,0.00,33.29
0,0.00,33.29
4,25.00,33.29
0,0.00,33.29
0,0.00,33.29
2,19.14,33.29
0,0.00,33.29
5,32.29,33.29
0,0.00,33.29
3,24.57,33.29
1,0.14,33.29
0,0.00,33.29
0,0.00,33.29
3,13.14,33.29
0,0.00,33.29
0,0.00,33.29
0,0.00,33.29
0,0.00,33.29
0,0.00,33.14
0,0.00,33.14
0,0.00,33.14
0,0.00,33.14
2,4.00,33.14
0,0.00,33.14
0,0.00,33.14
0,0.00,33.14
2,4.86,33.14
3,19.29,33.14
0,0.00,33.14
0,0.00,33.14
0,0.00,33.14
0,0.00,33.14
11,32.00,33.14
0,0.00,33.14
0,0.00,33.14
2,2.29,33.14
0,0.00,33.14
1,19.00,33.14
0,0.00,33.14
7,28.71,33.14
0,0.00,33.14
0,0.00,33.14
1,19.00,33.14
0,0.00,33.14
3,12.00,33.14
0,0.00,33.14
2,28.00,33.14
0,0.00,33.14
1,2.00,33.14
0,0.00,33.14
4,25.00,33.14
2,15.29,33.00
2,6.00,33.00
1,18.29,33.00
0,0.00,33.00
0,0.00,33.00
0,0.00,33.00
0,0.00,33.00
0,0.00,33.00
1,8.57,33.00
3,30.29,33.00
0,0.00,33.00
0,0.00,33.00
1,18.43,33.00
1,0.86,33.00
6,18.43,33.00
0,0.00,33.00
0,0.00,33.00
4,29.00,33.00
0,0.00,33.00
0,0.00,33.00
1,1.29,33.00
0,0.00,33.00
2,9.86,33.00
0,0.00,33.00
1,2.43,33.00
3,9.71,33.00
7,30.43,33.00
2,15.00,33.00
0,0.00,33.00
5,32.14,33.00
0,0.00,33.00
0,0.00,33.00
0,0.00,33.00
0,0.00,32.86
5,32.43,32.86
0,0.00,32.86
12,17.71,32.86
1,18.43,32.86
0,0.00,32.86
1,18.86,32.86
0,0.00,32.86
1,0.71,32.86
0,0.00,32.86
0,0.00,32.86
0,0.00,32.86
0,0.00,32.86
3,8.57,32.86
0,0.00,32.86
0,0.00,32.86
0,0.00,32.86
0,0.00,32.86
0,0.00,32.86
1,12.14,32.86
0,0.00,32.86
1,0.57,32.86
0,0.00,32.86
0,0.00,32.86
0,0.00,32.86
0,0.00,32.71
0,0.00,32.71
4,31.43,32.71
0,0.00,32.71
0,0.00,32.71
0,0.00,32.71
2,15.43,32.71
0,0.00,32.71
4,1.29,32.71
0,0.00,32.71
1,0.71,32.71
0,0.00,32.71
1,2.71,32.71
0,0.00,32.71
3,6.00,32.71
0,0.00,32.71
0,0.00,32.71
0,0.00,32.71
0,0.00,32.71
0,0.00,32.71
1,8.86,32.71
0,0.00,32.71
0,0.00,32.71
3,28.43,32.71
0,0.00,32.71
3,20.57,32.57
4,20.71,32.57
1,30.14,32.57
0,0.00,32.57
2,32.57,32.57
1,3.57,32.57
2,31.71,32.57
1,0.86,32.57
0,0.00,32.57
0,0.00,32.57
2,1.14,32.57
1,1.57,32.57
0,0.00,32.57
0,0.00,32.57
0,0.00,32.57
1,0.57,32.57
7,15.00,32.57
0,0.00,32.57
6,26.71,32.57
0,0.00,32.57
6,29.57,32.57
0,0.00,32.57
0,0.00,32.57
0,0.00,32.57
1,0.29,32.57
0,0.00,32.43
0,0.00,32.43
0,0.00,32.43
0,0.00,32.43
0,0.00,32.43
0,0.00,32.43
0,0.00,32.43
0,0.00,32.43
0,0.00,32.43
1,6.14,32.43
0,0.00,32.43
0,0.00,32.43
1,3.71,32.43
0,0.00,32.43
0,0.00,32.43
0,0.00,32.43
0,0.00,32.43
0,0.00,32.43
0,0.00,32.43
3,28.14,32.43
0,0.00,32.43
0,0.00,32.43
3,25.86,32.29
0,0.00,32.29
3,27.57,32.29
0,0.00,32.29
8,23.00,32.29
0,0.00,32.29
1,0.86,32.29
0,0.00,32.29
0,0.00,32.29
2,13.14,32.29
0,0.00,32.29
0,0.00,32.29
11,30.86,32.29
0,0.00,32.29
1,1.29,32.29
8,32.29,32.29
0,0.00,32.29
1,3.57,32.29
0,0.00,32.29
1,7.86,32.29
0,0.00,32.29
0,0.00,32.29
3,23.43,32.29
0,0.00,32.29
0,0.00,32.29
0,0.00,32.29
0,0.00,32.29
0,0.00,32.29
3,14.29,32.29
1,2.86,32.29
0,0.00,32.29
1,19.86,32.29
6,25.00,32.29
0,0.00,32.29
2,21.43,32.29
1,18.57,32.14
1,0.14,32.14
0,0.00,32.14
1,2.86,32.14
1,0.71,32.14
0,0.00,32.14
3,11.86,32.14
2,18.71,32.14
0,0.00,32.14
0,0.00,32.14
0,0.00,32.14
2,2.43,32.14
1,7.29,32.14
1,15.86,32.14
0,0.00,32.14
0,0.00,32.14
0,0.00,32.14
0,0.00,32.14
3,1.43,32.14
2,8.29,32.14
0,0.00,32.14
3,19.14,32.14
0,0.00,32.14
0,0.00,32.14
1,6.29,32.14
4,24.71,32.14
0,0.00,32.14
6,30.71,32.14
0,0.00,32.14
1,5.86,32.14
1,30.14,32.14
4,27.71,32.14
0,0.00,32.14
2,27.14,32.14
0,0.00,32.14
4,31.57,32.14
0,0.00,32.00
0,0.00,32.00
0,0.00,32.00
0,0.00,32.00
2,21.57,32.00
0,0.00,32.00
1,29.71,32.00
0,0.00,32.00
1,18.00,32.00
2,8.00,32.00
0,0.00,32.00
0,0.00,32.00
1,10.14,32.00
0,0.00,32.00
0,0.00,32.00
2,11.86,32.00
1,9.14,32.00
0,0.00,32.00
0,0.00,32.00
3,6.29,32.00
0,0.00,32.00
0,0.00,32.00
0,0.00,32.00
0,0.00,32.00
0,0.00,32.00
0,0.00,32.00
1,19.00,32.00
1,29.29,32.00
3,23.71,32.00
2,27.14,32.00
0,0.00,32.00
0,0.00,32.00
0,0.00,32.00
1,4.57,32.00
0,0.00,31.86
0,0.00,31.86
0,0.00,31.86
4,29.14,31.86
0,0.00,31.86
1,1.57,31.86
3,3.29,31.86
0,0.00,31.86
0,0.00,31.86
0,0.00,31.86
0,0.00,31.86
0,0.00,31.86
0,0.00,31.86
3,30.71,31.86
1,23.71,31.86
0,0.00,31.86
1,1.00,31.86
1,30.57,31.86
2,11.14,31.86
0,0.00,31.86
2,24.29,31.86
0,0.00,31.86
0,0.00,31.86
0,0.00,31.86
3,25.71,31.86
0,0.00,31.86
1,30.57,31.86
0,0.00,31.86
1,19.29,31.86
0,0.00,31.86
9,30.57,31.71
0,0.00,31.71
0,0.00,31.71
4,8.43,31.71
0,0.00,31.71
2,23.43,31.71
0,0.00,31.71
5,26.00,31.71
0,0.00,31.71
0,0.00,31.71
1,5.29,31.71
0,0.00,31.71
0,0.00,31.71
1,23.00,31.71
0,0.00,31.71
0,0.00,31.71
2,11.71,31.71
0,0.00,31.71
0,0.00,31.71
0,0.00,31.71
0,0.00,31.71
0,0.00,31.71
4,30.29,31.71
1,5.00,31.71
0,0.00,31.71
0,0.00,31.57
1,1.00,31.57
5,22.86,31.57
0,0.00,31.57
0,0.00,31.57
0,0.00,31.57
1,7.57,31.57
0,0.00,31.57
